"race","yt_district","candidate","length","uid","uid_ext"
"gov2014","AR","Hutchinson",32.809789,"9d5Ud3mZqCk","AR_Hutchinson/9d5Ud3mZqCk"
"gov2014","AR","Hutchinson",30.000178,"c0zMsUyuG30","AR_Hutchinson/c0zMsUyuG30"
"gov2014","AR","Hutchinson",30.185,"eIpUeGzv3z0","AR_Hutchinson/eIpUeGzv3z0"
"gov2014","AR","Hutchinson",63.83,"fAg4xHzqOwI","AR_Hutchinson/fAg4xHzqOwI"
"gov2014","AR","Hutchinson",30.045,"JSiJYro2UFc","AR_Hutchinson/JSiJYro2UFc"
"gov2014","AR","Hutchinson",30.208333,"mrMYHdzuIY8","AR_Hutchinson/mrMYHdzuIY8"
"gov2014","AR","Hutchinson",30.000178,"mUPfQ5bDdTQ","AR_Hutchinson/mUPfQ5bDdTQ"
"gov2014","AR","Hutchinson",28.258333,"nnSwZZ8Jq5w","AR_Hutchinson/nnSwZZ8Jq5w"
"gov2014","AR","Hutchinson",30.000178,"OXlpjjV8kBk","AR_Hutchinson/OXlpjjV8kBk"
"gov2014","AR","Hutchinson",30.046611,"PACW-2_IGVQ","AR_Hutchinson/PACW-2_IGVQ"
"gov2014","AR","Hutchinson",34.04,"q2WTk40YaT0","AR_Hutchinson/q2WTk40YaT0"
"gov2014","AR","Hutchinson",29.976667,"SMPjzYQ9B9k","AR_Hutchinson/SMPjzYQ9B9k"
"gov2014","AR","Hutchinson",30.045,"sYHYxkPGOig","AR_Hutchinson/sYHYxkPGOig"
"gov2014","AR","Hutchinson",60.0468,"T5ZM7nt4A3A","AR_Hutchinson/T5ZM7nt4A3A"
"gov2014","AR","Hutchinson",30.046611,"TYphFN5EF8Q","AR_Hutchinson/TYphFN5EF8Q"
"gov2014","AR","Hutchinson",33.947567,"UJ771VjbNOc","AR_Hutchinson/UJ771VjbNOc"
"gov2014","AR","Hutchinson",30.068333,"Y5vw0Y9DMlU","AR_Hutchinson/Y5vw0Y9DMlU"
"gov2014","AZ","Ducey",32.043333,"1dnFb5DqE44","AZ_Ducey/1dnFb5DqE44"
"gov2014","AZ","Ducey",31.973333,"248xbZBSpsE","AZ_Ducey/248xbZBSpsE"
"gov2014","AZ","Ducey",32.043333,"5hzSXhjPbYo","AZ_Ducey/5hzSXhjPbYo"
"gov2014","AZ","Ducey",32.066667,"5oSrQSOj45c","AZ_Ducey/5oSrQSOj45c"
"gov2014","AZ","Ducey",32.043533,"8IaDDyIUau0","AZ_Ducey/8IaDDyIUau0"
